sample_id,text_prompt,category,style,quality_level,color_palette,aspect_ratio,prompt_length,word_count,complexity_score,text_sentiment,text_clarity,text_specificity,image_width,image_height,image_channels,color_depth,noise_level,sharpness_score,brightness,contrast,saturation,hue_variance,edge_density,texture_score,composition_score,aesthetic_score,clip_score,fid_score,inception_score,ssim_score,psnr_score,generation_time_img,gpu_memory_img,inference_steps,guidance_scale,seed_value,video_fps,video_duration,total_frames,video_width,video_height,video_bitrate,compression_ratio,motion_score,temporal_consistency,scene_coherence,transition_type,video_quality_score,optical_flow_score,video_sentiment,generation_time_vid,gpu_memory_vid,model_version,batch_size,learning_rate,epoch_trained,training_loss,validation_loss,perceptual_loss,adversarial_loss,user_rating,expert_rating,human_preference_score,prompt_adherence,creative_score,technical_quality,dataset_split,overall_quality_score,quality_label,quality_class
6071,A dramatic ocean view during storm,portrait,vintage,ultra,warm,16:9,181,27,0.2541,-0.8514,0.8241,0.8406,1024,512,3,8,0.2368,0.9304,0.781,0.5307,0.9208,0.8235,0.5259,0.8004,0.5344,0.2021,0.8962,16.1782,9.8633,0.5353,44.2505,4.8058,1.4768,79,8.6005,195831,24,6.72,438,1080,1080,7892,0.2177,0.9369,0.9796,0.8549,dissolve,0.4355,0.1301,0.4069,253.9586,14.6853,v1.5,2,0.001,248,0.285777,2.057273,0.108298,2.989868,4.46,4.08,0.714,0.8351,0.3327,0.5724,test,0.6715,0,medium
6072,A dynamic mountain landscape during eclipse,landscape,artistic,medium,neutral,4:3,164,9,0.8898,0.4779,0.6584,0.9653,1024,1024,3,8,0.2467,0.6908,0.7587,0.5839,0.3627,0.7888,0.871,0.9931,0.5602,0.7209,0.8741,23.9594,6.5359,0.8811,37.4303,11.17,17.6765,77,17.2141,154177,12,54.94,1680,480,480,8297,0.8895,0.9177,0.9053,0.6346,zoom,0.3397,0.3803,0.1219,174.1735,20.8582,v2.0,4,1e-05,123,1.434238,0.309485,0.971239,1.720104,2.25,4.09,0.7663,0.6491,0.7268,0.8779,train,0.7941,1,high
6073,A vibrant desert dunes in blue hour,sports,digital_art,ultra,warm,3:2,67,29,0.3379,-0.2219,0.9782,0.5718,1024,256,3,8,0.253,0.6431,0.6078,0.7619,0.5665,0.0178,0.6725,0.6638,0.739,0.9098,0.6363,145.4662,7.5216,0.6103,30.5423,22.7889,8.6165,47,5.7516,68884,24,22.16,442,1080,480,1591,0.3927,0.3221,0.5919,0.5643,none,0.7389,0.2694,-0.2663,198.1472,36.4352,v1.5,2,5e-05,224,1.622432,2.058038,1.226662,1.286248,2.64,1.75,0.9686,0.5472,0.3334,0.3473,test,0.6167,0,low
6074,A realistic night sky at dawn,sports,sketch,ultra,vibrant,21:9,110,5,0.1405,-0.7422,0.7857,0.1665,256,768,3,16,0.0508,0.732,0.5373,0.6271,0.7086,0.5584,0.663,0.8552,0.849,0.2575,0.765,14.5035,8.4033,0.5175,43.1442,20.9687,12.1302,87,1.0642,712729,60,39.2,589,720,720,786,0.2701,0.8022,0.8143,0.4743,fade,0.8174,0.4812,-0.2439,257.2274,14.3157,v1.0,1,0.0005,170,1.366708,1.404391,0.688902,1.048559,1.9,2.42,0.2315,0.7338,0.7918,0.8843,validation,0.6705,0,medium
6075,A stunning waterfall in fog,technology,photorealistic,professional,warm,16:9,72,28,0.4875,-0.2259,0.8229,0.9604,768,256,3,8,0.2641,0.9964,0.6566,0.5765,0.8832,0.4077,0.3267,0.3199,0.3934,0.8281,0.9699,148.5042,3.8945,0.7197,24.2441,21.4973,10.8182,47,4.8739,883828,30,29.62,1783,1080,720,4727,0.8762,0.9622,0.7142,0.9518,wipe,0.3198,0.2296,-0.4218,180.9538,32.1651,v1.5,4,0.0005,164,0.05248,0.022932,0.694194,1.890414,1.17,2.4,0.3606,0.9962,0.2162,0.4789,train,0.8346,1,high
6076,A colorful desert dunes in rain,technology,watercolor,high,monochrome,3:2,80,37,0.1902,-0.8034,0.6788,0.4787,1280,1024,3,32,0.1935,0.4348,0.3922,0.3202,0.4989,0.1095,0.1871,0.6624,0.8851,0.4647,0.9927,36.631,9.3291,0.6915,49.9143,7.515,17.767,25,6.4023,339344,30,37.53,744,1080,360,9783,0.2494,0.0077,0.6281,0.8776,fade,0.3793,0.8345,0.7882,268.1266,42.2657,v3.0,1,1e-05,284,1.958224,1.497372,0.0323,2.375712,1.21,3.71,0.9216,0.9852,0.739,0.3673,test,0.7443,1,high
6077,A detailed arctic tundra under stars,abstract,cartoon,medium,neutral,1:1,122,11,0.2037,0.776,0.7259,0.1922,256,256,3,16,0.4498,0.4476,0.5771,0.5583,0.9291,0.4945,0.5582,0.3084,0.9902,0.4333,0.8156,5.2549,3.907,0.8216,32.2264,5.506,20.5761,88,15.5405,885867,24,33.1,1695,1080,720,6433,0.6141,0.066,0.7706,0.6627,wipe,0.7439,0.883,-0.8576,88.7061,6.2858,v1.0,2,0.001,284,0.974197,1.474995,1.001313,1.6825,1.33,1.83,0.642,0.9631,0.7268,0.7474,test,0.7624,1,high
6078,A dramatic city skyline under stars,fashion,sketch,ultra,cool,9:16,121,28,0.517,-0.0865,0.7093,0.975,1024,512,3,8,0.0063,0.7947,0.6757,0.4335,0.8581,0.9403,0.4676,0.8345,0.7912,0.2484,0.5445,31.0209,4.6003,0.6304,23.1715,27.7454,3.8903,27,18.5583,138681,24,38.68,51,1920,360,6301,0.7033,0.9403,0.9232,0.8167,pan,0.4248,0.5486,-0.35,31.1428,24.1001,v2.1,8,0.0001,474,1.713555,2.362007,0.648135,0.790059,4.81,3.48,0.6515,0.6051,0.2099,0.7007,train,0.6164,0,low
6079,A serene mountain landscape in golden hour,portrait,digital_art,ultra,dark,9:16,158,19,0.6514,-0.7239,0.9681,0.3525,768,256,3,8,0.2582,0.8782,0.2642,0.9517,0.8018,0.4739,0.8615,0.3083,0.5851,0.4687,0.9599,69.3585,2.4677,0.8872,47.2459,3.2395,14.26,71,13.2163,553681,30,38.8,1054,720,720,1103,0.2676,0.7752,0.8463,0.6021,none,0.6766,0.6751,0.3449,273.6127,19.1686,v3.0,16,0.0001,10,0.70986,0.19641,1.378434,0.849096,2.79,3.33,0.9525,0.523,0.5769,0.984,train,0.7142,1,medium
6080,A colorful old castle in blue hour,technology,watercolor,low,warm,4:3,162,15,0.9149,-0.4958,0.9048,0.6912,768,256,3,8,0.4873,0.9557,0.7293,0.4797,0.23,0.6119,0.2591,0.614,0.5736,0.9845,0.4641,113.3818,8.9004,0.8553,29.8249,19.4371,6.7013,99,6.4728,681478,12,52.64,246,720,720,4434,0.8484,0.4043,0.7013,0.9847,fade,0.8835,0.661,0.4045,154.765,37.9754,v3.0,2,0.0001,292,1.72983,0.391436,0.224341,1.106405,1.59,1.07,0.3925,0.7663,0.8748,0.7853,train,0.7569,1,high
6081,A dramatic ocean view during storm,sports,sketch,high,monochrome,4:3,109,21,0.7347,0.4493,0.5454,0.2297,1920,512,3,8,0.0076,0.8597,0.5313,0.343,0.5927,0.9155,0.2477,0.8564,0.9395,0.973,0.7891,154.4353,6.7969,0.7281,49.6013,12.2379,4.0386,46,4.7667,489034,24,12.85,1115,720,720,3577,0.6555,0.2416,0.8168,0.8921,fade,0.8886,0.3732,0.5098,151.3599,42.1473,v2.0,8,1e-05,218,1.268101,1.003303,1.384284,2.375679,2.77,4.75,0.7793,0.9822,0.9814,0.8996,train,0.8854,1,very_high
6082,An amazing mountain landscape at dawn,landscape,photorealistic,professional,monochrome,21:9,137,27,0.8583,0.5722,0.6569,0.7476,1920,1024,4,8,0.3454,0.6669,0.8654,0.4167,0.7358,0.2143,0.24,0.8471,0.8892,0.5652,0.6656,135.5933,8.2505,0.5199,20.327,24.9747,17.5095,96,5.2157,163741,12,15.91,68,480,480,1701,0.6571,0.671,0.9365,0.7823,none,0.8623,0.203,-0.4455,160.3376,9.4457,v2.0,4,0.001,250,1.460096,1.019872,0.211375,0.740147,2.38,2.73,0.5328,0.5607,0.5353,0.4885,train,0.6872,1,medium
6083,An amazing futuristic city in fog,architecture,oil_painting,medium,dark,16:9,158,8,0.4706,-0.9174,0.5278,0.9787,1280,1280,3,16,0.0149,0.8,0.8647,0.3891,0.1098,0.4363,0.2332,0.5058,0.9943,0.7927,0.9976,43.8356,1.9784,0.6579,46.6663,16.4322,8.337,42,18.7651,741317,24,1.66,88,1080,720,1634,0.1656,0.3884,0.967,0.4407,wipe,0.8914,0.6419,-0.9163,95.1336,28.9668,v1.5,4,1e-05,154,0.12422,0.08287,0.294762,2.199478,3.27,4.42,0.1071,0.6716,0.831,0.7059,train,0.7777,1,high
6084,A detailed flower garden during eclipse,animals,cinematic,ultra,cool,21:9,154,35,0.3867,-0.8802,0.7584,0.9866,512,1024,3,8,0.4312,0.6736,0.7903,0.4252,0.753,0.2409,0.3502,0.4241,0.8186,0.9628,0.4135,198.1877,4.0478,0.9067,22.7765,9.9126,10.5924,65,6.413,641601,24,43.34,1443,1080,360,3928,0.3488,0.1919,0.8815,0.8149,zoom,0.6776,0.3522,0.6636,114.1641,12.0812,v3.0,2,1e-05,164,1.813863,0.552173,0.317276,2.977459,3.05,4.82,0.4996,0.8604,0.5626,0.7133,train,0.7323,1,medium
6085,A vibrant waterfall in fog,technology,oil_painting,medium,pastel,16:9,66,38,0.6336,0.8344,0.6397,0.2136,1920,768,3,8,0.0982,0.7592,0.4971,0.4693,0.4971,0.9923,0.5312,0.7805,0.531,0.8176,0.6706,106.123,2.1098,0.6944,28.1003,0.9088,13.5597,55,10.6343,684429,60,14.75,1402,720,480,4514,0.6145,0.6531,0.7973,0.5407,wipe,0.8374,0.459,-0.0297,159.9455,11.8819,v1.5,2,1e-05,412,1.0052,0.153248,0.728466,2.378593,3.13,1.74,0.731,0.9549,0.3798,0.8759,train,0.7874,1,high
6086,A colorful waterfall under stars,fashion,digital_art,professional,neutral,16:9,155,14,0.7259,-0.338,0.5367,0.7918,512,768,3,8,0.4126,0.3542,0.7042,0.9673,0.8528,0.0217,0.7918,0.3984,0.8971,0.6662,0.865,99.8188,9.112,0.8781,36.6068,16.3628,4.5014,19,16.7323,851077,24,15.56,1184,720,480,8644,0.5855,0.5796,0.5289,0.4594,dissolve,0.7041,0.9603,-0.1416,86.3929,26.6901,v1.0,2,0.001,116,0.453301,1.685669,0.998971,0.630012,2.29,1.53,0.6375,0.8315,0.9569,0.348,train,0.6536,0,medium
6087,A realistic autumn forest at sunset,technology,photorealistic,high,dark,1:1,24,14,0.6114,-0.6134,0.886,0.6979,1920,512,1,32,0.4583,0.752,0.3556,0.836,0.6746,0.8499,0.8591,0.4862,0.5365,0.5591,0.7565,59.4483,6.3024,0.8463,48.0542,27.5024,16.2323,84,15.2002,401982,24,3.7,1183,720,720,8292,0.1092,0.9491,0.9041,0.4965,fade,0.526,0.6911,-0.6152,89.1026,46.138,v2.1,8,0.0001,341,0.346656,0.408108,0.588511,2.544232,3.86,1.17,0.1379,0.6028,0.7781,0.8485,train,0.7283,1,medium
6088,A detailed urban street under stars,fashion,sketch,low,warm,4:3,106,15,0.3381,-0.7539,0.5456,0.8213,512,256,3,32,0.0681,0.5228,0.4022,0.4575,0.14,0.4072,0.7752,0.6636,0.3717,0.4696,0.7924,36.4295,7.6029,0.8259,49.7598,16.9425,20.5652,85,13.7986,856721,24,39.9,262,1080,480,6996,0.1547,0.4992,0.9437,0.9992,pan,0.8696,0.8618,-0.8201,264.7038,40.2196,v1.0,16,0.0001,458,1.908739,0.393378,0.86974,1.705991,3.35,1.17,0.3187,0.8375,0.4655,0.6148,train,0.7903,1,high
6089,A detailed night sky at sunset,portrait,modern,high,pastel,4:3,110,35,0.4328,-0.0481,0.6358,0.3999,512,512,3,8,0.0491,0.677,0.6041,0.7745,0.3995,0.9796,0.2888,0.228,0.872,0.3652,0.6599,175.6283,9.5979,0.854,39.4713,1.3769,12.9802,45,15.7713,262085,24,36.09,1483,1080,1080,9824,0.6015,0.0972,0.9308,0.9963,dissolve,0.7674,0.1989,0.895,195.6916,37.4098,v2.0,2,0.0001,355,1.126028,2.366931,0.525866,2.894458,2.79,2.94,0.7207,0.5037,0.679,0.5281,train,0.6201,0,low
6090,A vibrant mountain landscape in fog,architecture,cinematic,low,pastel,9:16,82,14,0.5035,0.5421,0.8858,0.4616,256,256,3,8,0.4183,0.3944,0.7172,0.7515,0.128,0.4675,0.4755,0.5094,0.7283,0.9611,0.7986,6.9352,5.9779,0.8779,49.6722,4.4636,19.6801,31,11.3103,677378,24,27.44,1487,720,720,4408,0.3473,0.9335,0.5714,0.5821,none,0.4145,0.2554,-0.0225,269.3382,40.8243,v1.5,2,0.0005,301,1.609522,0.824406,0.986723,1.984321,2.76,1.36,0.6461,0.5013,0.459,0.3412,train,0.6292,0,low
6091,A stunning waterfall in rain,nature,oil_painting,medium,cool,4:3,40,12,0.1127,0.0422,0.7558,0.4076,256,1080,3,8,0.0876,0.6843,0.5056,0.529,0.1071,0.6356,0.2079,0.846,0.7534,0.545,0.5314,88.2535,3.3868,0.808,32.7417,0.585,11.757,26,18.394,331414,60,33.43,1746,1080,720,6107,0.1763,0.022,0.5649,0.7265,wipe,0.4232,0.1651,-0.6462,153.9929,39.6865,v1.5,8,5e-05,338,1.898528,0.356352,1.10982,1.038297,4.16,4.49,0.8294,0.6715,0.443,0.9499,train,0.6328,0,low
6092,A detailed autumn forest at dawn,landscape,artistic,high,dark,4:3,138,15,0.8919,-0.9587,0.9086,0.7899,1024,768,3,8,0.0267,0.7655,0.7521,0.5592,0.9819,0.5691,0.6305,0.363,0.5228,0.9873,0.4822,111.1819,5.5785,0.9109,34.7321,22.7202,15.3016,20,6.6958,665986,12,14.13,1283,480,480,551,0.2301,0.9766,0.9269,0.5468,cut,0.4217,0.9522,-0.0832,208.4194,8.3265,v1.0,2,5e-05,325,1.536649,2.002743,0.057468,0.217421,3.58,4.51,0.9209,0.6998,0.9572,0.9095,test,0.7533,1,high
6093,A realistic autumn forest at dawn,landscape,sketch,high,dark,1:1,140,24,0.5603,-0.0322,0.7072,0.8282,768,1080,3,8,0.1104,0.4402,0.6458,0.9313,0.3361,0.1069,0.1194,0.7801,0.3116,0.8235,0.9608,12.9259,9.2298,0.9155,33.5699,8.8262,15.8016,89,9.838,985662,12,20.48,1068,720,1080,9414,0.4712,0.7981,0.5398,0.7146,pan,0.6291,0.9816,-0.8124,42.7213,40.4234,v3.0,8,0.0005,348,0.764844,2.394621,1.207602,0.021204,1.85,1.16,0.7006,0.5095,0.2573,0.5285,train,0.6944,1,medium
6094,A colorful flower garden during storm,fashion,oil_painting,high,vibrant,21:9,121,28,0.7759,-0.3767,0.9074,0.3244,256,768,3,8,0.1027,0.3687,0.4216,0.6365,0.2426,0.9493,0.3925,0.8196,0.696,0.862,0.6887,42.2371,3.0128,0.9867,33.7742,15.7652,5.8056,24,9.4276,396166,24,26.19,616,720,480,8583,0.3305,0.4722,0.5761,0.6087,fade,0.6965,0.5922,-0.0967,264.1358,46.3014,v3.0,1,0.0005,94,1.965598,0.341847,1.071337,0.253118,1.46,2.75,0.4909,0.721,0.952,0.5997,train,0.6731,0,medium
6095,A serene autumn forest in blue hour,abstract,sketch,professional,vibrant,16:9,109,11,0.2547,0.3657,0.7691,0.6155,1920,256,4,8,0.3373,0.564,0.3962,0.96,0.8853,0.6264,0.6127,0.2491,0.8341,0.9249,0.627,16.1973,1.1506,0.6726,22.163,23.1689,22.7825,24,13.7811,85809,24,14.39,276,720,720,4824,0.8552,0.3003,0.585,0.7751,zoom,0.3474,0.3854,-0.3894,168.324,30.2991,v2.1,1,0.001,235,1.158773,0.447537,0.040658,2.284982,4.98,3.26,0.6058,0.896,0.7434,0.9288,train,0.8194,1,high
6096,A colorful desert dunes in fog,fashion,cinematic,medium,vibrant,21:9,159,25,0.601,0.047,0.544,0.2134,256,1280,3,8,0.236,0.6182,0.7522,0.4279,0.378,0.2853,0.7027,0.2703,0.9223,0.9171,0.826,197.4792,6.7217,0.6284,32.13,19.1383,23.4212,12,6.2546,353600,24,13.72,55,720,1080,4177,0.4998,0.3676,0.6588,0.5277,none,0.75,0.763,-0.3076,214.2237,15.4462,v1.0,4,5e-05,115,1.320768,1.387376,1.190384,0.310369,4.35,4.54,0.0394,0.9116,0.5412,0.3937,train,0.7638,1,high
6097,An amazing urban street in morning light,abstract,digital_art,low,dark,1:1,131,10,0.9335,0.9307,0.7357,0.1118,1280,1080,3,8,0.3828,0.7474,0.4099,0.326,0.3647,0.3315,0.8627,0.7744,0.9545,0.9373,0.9614,142.675,5.9873,0.6692,43.8622,15.7752,9.1046,73,16.1563,345892,24,46.91,21,1080,360,8092,0.3157,0.9763,0.6326,0.9166,cut,0.9567,0.1071,-0.5477,176.1814,11.4779,v2.0,1,0.0005,438,0.094061,2.092608,0.381117,2.581907,3.79,1.56,0.1094,0.719,0.7644,0.7024,test,0.8034,1,high
6098,A beautiful waterfall at sunset,food,cartoon,high,dark,3:2,158,35,0.2928,0.1963,0.7768,0.6491,256,1080,3,16,0.1179,0.4242,0.3491,0.6444,0.8965,0.0321,0.705,0.735,0.8602,0.7966,0.5666,142.7429,8.0918,0.551,28.8278,7.87,20.4534,97,14.2129,106809,24,9.14,1085,720,480,8324,0.7688,0.0581,0.6379,0.6519,fade,0.5871,0.6816,0.2031,75.0995,5.4436,v2.0,1,0.001,358,0.800373,1.349483,0.743086,1.208983,2.24,2.27,0.9295,0.7536,0.289,0.558,test,0.6458,0,medium
6099,A colorful mountain landscape at sunset,sports,oil_painting,medium,vibrant,9:16,157,16,0.4113,0.265,0.8061,0.8562,512,1280,3,8,0.2454,0.629,0.7106,0.7127,0.6189,0.2187,0.3454,0.9216,0.6049,0.8937,0.8361,165.2392,9.4931,0.8765,30.6951,8.9358,1.472,65,17.6422,276680,24,19.57,1799,480,720,4870,0.4706,0.6172,0.8985,0.9395,fade,0.8714,0.9684,-0.8578,220.6161,47.635,v2.1,4,1e-05,202,1.8636,0.707126,0.262328,0.661259,3.93,4.39,0.8234,0.742,0.3158,0.5942,train,0.8234,1,high
6100,A vibrant canyon view at sunset,landscape,sketch,professional,neutral,9:16,138,17,0.4495,0.0405,0.9639,0.9159,256,768,4,16,0.0528,0.9415,0.2453,0.6641,0.2883,0.4262,0.6119,0.5652,0.5198,0.8023,0.6111,162.8551,3.0911,0.6711,34.3383,24.7988,15.6272,71,14.0399,782703,24,5.19,359,1080,1080,3295,0.6191,0.7743,0.5359,0.7659,wipe,0.5709,0.3102,0.2608,255.3744,46.4552,v2.1,16,1e-05,46,1.947196,1.050379,1.48295,0.658132,4.73,4.41,0.7455,0.7977,0.8566,0.713,train,0.7068,1,medium
6101,A vibrant autumn forest at dawn,portrait,cartoon,professional,monochrome,9:16,35,35,0.445,-0.378,0.5918,0.6583,512,1024,4,8,0.2361,0.5911,0.3482,0.7557,0.3609,0.2601,0.6937,0.8199,0.521,0.3378,0.7105,30.3321,2.1306,0.7106,40.914,1.94,18.9106,54,14.3607,873255,24,2.88,205,1080,720,7375,0.7907,0.3611,0.748,0.8551,wipe,0.7253,0.6837,0.5808,115.4653,22.7993,v1.5,2,0.0005,92,0.276362,2.114428,0.104087,1.145454,3.65,3.45,0.5362,0.5219,0.6895,0.6754,test,0.6447,0,medium
6102,A colorful forest scene in morning light,fashion,cartoon,medium,monochrome,21:9,162,13,0.6406,0.2612,0.803,0.8278,1920,512,3,8,0.2497,0.4207,0.794,0.5477,0.187,0.2008,0.7172,0.8178,0.6709,0.8157,0.682,180.0838,4.2099,0.6622,33.0138,29.2517,8.1544,80,4.3048,164093,12,14.94,1635,1080,1080,8483,0.8008,0.5457,0.942,0.4299,cut,0.8708,0.8267,-0.5338,41.449,35.1225,v1.5,8,0.001,284,0.601851,2.04203,0.913672,0.987752,4.02,4.21,0.822,0.6789,0.481,0.9716,train,0.7526,1,high
6103,A beautiful arctic tundra in fog,portrait,artistic,low,monochrome,16:9,138,31,0.4544,-0.3342,0.876,0.4638,1920,512,3,16,0.4558,0.8891,0.5799,0.3942,0.6926,0.6166,0.1801,0.6386,0.5153,0.9283,0.7117,31.7831,3.7171,0.684,43.6681,13.8458,18.4147,44,13.739,518516,30,4.23,1363,720,360,5840,0.1828,0.4684,0.8452,0.6219,none,0.9028,0.7619,-0.4293,223.7185,46.042,v2.0,1,0.0001,221,1.013235,1.145018,1.222005,1.809581,3.93,2.51,0.4905,0.6511,0.526,0.9557,train,0.7687,1,high
6104,A detailed tropical beach in rain,architecture,cartoon,medium,warm,16:9,103,21,0.7066,0.4347,0.945,0.8878,256,1024,3,32,0.4744,0.5963,0.5803,0.496,0.2572,0.5665,0.7139,0.3243,0.6773,0.2064,0.6837,187.4513,9.8543,0.6881,27.5239,16.3492,10.8693,24,5.9121,401364,30,13.45,999,720,1080,9183,0.4384,0.6023,0.522,0.4271,zoom,0.7827,0.4961,-0.999,183.7499,31.9053,v3.0,1,5e-05,402,0.781726,1.557326,1.171978,1.055849,1.5,1.73,0.3976,0.7855,0.6459,0.8816,train,0.5809,0,low
6105,An amazing desert dunes at dawn,portrait,cinematic,medium,warm,16:9,151,12,0.5361,-0.5263,0.7627,0.7972,1024,512,3,16,0.4376,0.7412,0.8006,0.3507,0.4884,0.8908,0.1971,0.9203,0.8213,0.3112,0.8471,11.6747,3.1139,0.5805,20.8969,4.5896,12.5098,69,8.5867,690565,24,28.48,406,720,720,9851,0.8516,0.6969,0.6858,0.5775,fade,0.8142,0.2238,0.0928,40.1259,34.1962,v1.5,4,5e-05,274,1.695715,2.411414,0.80796,2.638172,2.32,3.96,0.0091,0.5181,0.7883,0.6628,validation,0.5971,0,low
6106,A beautiful desert dunes at sunset,technology,photorealistic,ultra,neutral,9:16,41,31,0.2419,-0.2647,0.607,0.3777,1024,1080,4,16,0.4612,0.9169,0.7687,0.3492,0.689,0.5192,0.6159,0.6077,0.3474,0.7892,0.7737,134.7248,1.2063,0.7857,30.9568,5.0794,22.7465,91,1.5349,277435,60,20.98,244,480,360,7375,0.2188,0.7139,0.6871,0.4373,fade,0.6575,0.8441,0.8748,216.1258,18.413,v2.1,1,0.0001,152,0.574252,2.272028,1.275179,1.967089,1.78,4.65,0.0051,0.8957,0.6928,0.9344,validation,0.8099,1,high
6107,An amazing desert dunes during storm,sports,cartoon,professional,cool,9:16,182,19,0.9537,0.1673,0.9088,0.6375,1920,256,3,8,0.0233,0.7356,0.75,0.5629,0.5012,0.5524,0.7051,0.2492,0.6431,0.3301,0.4864,29.8887,7.6763,0.9344,23.6501,11.5377,2.4551,77,7.8396,246588,24,17.6,194,1080,480,2042,0.4915,0.512,0.8124,0.4682,zoom,0.477,0.6911,0.4032,123.6216,9.5165,v1.5,1,0.0005,409,1.29504,1.130082,0.559252,0.85559,2.62,3.62,0.957,0.5778,0.5662,0.3898,validation,0.5198,0,very_low
6108,A vibrant autumn forest in fog,technology,modern,low,monochrome,21:9,161,10,0.3156,0.257,0.9525,0.1461,1280,256,3,32,0.4134,0.8904,0.4487,0.9279,0.5085,0.2539,0.8094,0.4807,0.7604,0.2498,0.8609,164.283,7.054,0.7724,20.7809,14.0156,6.3769,20,18.2657,665948,30,25.8,206,720,720,3938,0.1403,0.7804,0.5621,0.8833,dissolve,0.386,0.2129,0.9285,81.8755,25.5226,v3.0,8,0.0001,78,1.522893,0.428957,1.218289,2.353873,2.41,3.77,0.8464,0.5685,0.6081,0.9101,train,0.658,0,medium
6109,An amazing canyon view at sunset,animals,sketch,ultra,monochrome,21:9,113,36,0.6062,0.3372,0.5532,0.2319,768,1280,3,8,0.0333,0.7555,0.3387,0.6458,0.9173,0.8998,0.1243,0.3459,0.9349,0.2707,0.4855,85.5392,4.1491,0.9604,35.3891,28.8726,15.2597,35,12.5458,624818,60,33.88,1580,1080,1080,8319,0.2402,0.3762,0.5571,0.5367,none,0.7166,0.7819,-0.1327,204.3477,47.4506,v2.1,4,1e-05,25,1.74768,1.105587,0.374415,1.518469,2.63,3.7,0.1327,0.7968,0.8294,0.5381,train,0.5194,0,very_low
6110,A serene forest scene at sunset,fashion,cartoon,medium,warm,9:16,50,12,0.1546,0.4006,0.6149,0.952,1280,256,3,8,0.2859,0.8702,0.5822,0.4186,0.8251,0.9715,0.8085,0.8899,0.8518,0.7146,0.4974,92.1054,1.9803,0.6885,40.0593,12.3847,22.5235,62,18.5297,931262,12,14.44,508,720,720,1451,0.4256,0.3514,0.7908,0.6381,dissolve,0.6384,0.7438,-0.5341,163.5971,18.9718,v3.0,1,0.001,81,0.296355,1.188075,0.398224,1.532115,2.97,4.76,0.3578,0.738,0.2706,0.7651,train,0.7258,1,medium
6111,An amazing city skyline in fog,landscape,vintage,professional,dark,3:2,89,39,0.9268,-0.3634,0.9357,0.1088,256,1024,3,8,0.0426,0.6196,0.5884,0.5528,0.4353,0.4856,0.4924,0.4207,0.7362,0.6779,0.6374,86.7966,3.5249,0.5296,26.21,24.9746,22.8842,61,4.5102,60623,24,27.03,328,1080,360,6891,0.3354,0.0808,0.612,0.8755,wipe,0.644,0.1345,-0.4273,193.6246,47.8995,v3.0,1,1e-05,238,1.349669,1.697591,1.002837,1.076056,3.64,4.56,0.171,0.5085,0.3777,0.6183,train,0.6446,0,medium
6112,A serene waterfall during eclipse,fashion,photorealistic,ultra,pastel,3:2,110,35,0.9352,0.7852,0.7422,0.2829,1920,1080,4,8,0.3955,0.986,0.2324,0.9844,0.6407,0.0735,0.7835,0.8344,0.825,0.8747,0.8426,101.616,5.646,0.5906,30.0332,26.8109,19.0816,38,6.7105,732704,24,27.83,1320,1920,720,8771,0.2862,0.7082,0.9072,0.9815,cut,0.3798,0.8966,0.4165,208.5041,21.9591,v1.0,2,0.0005,222,1.089894,1.387896,1.303108,2.467752,4.05,1.54,0.0724,0.6127,0.2613,0.7282,train,0.8101,1,high
6113,A dynamic desert dunes under stars,sports,watercolor,ultra,dark,21:9,147,30,0.4281,-0.9401,0.5846,0.2249,256,512,3,32,0.0011,0.6798,0.494,0.3217,0.4814,0.2723,0.4579,0.9473,0.5662,0.4483,0.6901,11.6506,5.7039,0.5005,39.119,19.2695,11.8872,70,1.6855,744267,24,4.43,1408,720,720,6464,0.2754,0.7123,0.9272,0.4771,none,0.8739,0.7673,-0.6093,26.7046,39.7839,v3.0,16,5e-05,112,0.880304,0.913266,0.052566,1.628665,2.28,3.12,0.5995,0.5732,0.8357,0.8173,test,0.6189,0,low
6114,A beautiful futuristic city during eclipse,nature,photorealistic,low,warm,9:16,30,28,0.2089,-0.6231,0.8226,0.7289,256,256,3,8,0.1919,0.7776,0.5761,0.7211,0.6743,0.0108,0.2693,0.9649,0.3628,0.797,0.9745,154.9249,7.6143,0.6386,29.0046,28.7811,8.0907,59,19.2328,414362,24,16.8,867,1920,360,5035,0.2299,0.2947,0.8894,0.9243,wipe,0.9247,0.3436,-0.237,129.5226,37.6336,v1.0,1,0.001,494,0.346356,0.090696,0.038956,1.282206,1.8,4.62,0.3367,0.6104,0.3233,0.9493,validation,0.8572,1,very_high
6115,A serene city skyline during storm,nature,digital_art,medium,neutral,16:9,55,6,0.793,-0.8597,0.7291,0.1951,1920,512,3,8,0.2648,0.4345,0.5404,0.7272,0.9171,0.1884,0.4896,0.4343,0.7591,0.363,0.8166,189.1221,6.2495,0.8905,41.0311,6.1982,4.1449,68,1.6236,838401,24,30.47,1239,1080,480,7982,0.5177,0.5928,0.9361,0.5865,dissolve,0.3017,0.7361,-0.9845,155.3836,43.7981,v2.1,1,0.0005,189,0.02916,0.024887,1.110045,0.663369,2.48,1.68,0.3039,0.858,0.8401,0.7298,train,0.6924,1,medium
